Modul,Nama Halaman,URL Path,Required Capability,Superadmin,Admin,Guru,Siswa,Orang Tua
Absensi,Operasional Presensi Realtime,/attendance/ops,attendance.sessions.view.list,,X,X,,
Absensi,Monitoring KBM (Realtime),/attendance/monitoring,attendance.sessions.view.list,,X,X,,
Absensi,Pengaturan Jadwal & Toleransi,/attendance/settings,attendance.gate.bypass,,X,,,
Absensi,Manajemen Template Jadwal,/attendance/jadwal-template,attendance.schedules.create,,X,,,
Absensi,Tracking Aktivitas & Lokasi,/attendance/tracking-siswa,attendance.reports.view,,X,X,,
Absensi,Manajemen Petugas,/attendance/petugas,attendance.officers.manage,,X,,,
Absensi,Manajemen Perangkat (Device Auth),/attendance/devices,attendance.sessions.view.list,,X,,,
Absensi,Rekap Bulanan Per Siswa,/attendance/rekap/siswa-bulanan,attendance.reports.view,,X,X,X,X
Absensi,Rekap Bulanan Per Kelas,/attendance/rekap/kelas-bulanan,attendance.reports.view,,X,X,,
Absensi,Rekap Harian Per Siswa,/attendance/rekap/siswa-harian,attendance.reports.view,,X,X,X,X
Absensi,Monitoring Kehadiran Guru,/attendance/guru-monitoring,attendance.reports.view,,X,X,,
Absensi,Rekam Wajah (Biometrik AI),/attendance/rekam-wajah,attendance.manage.face.templates,,X,X,X,
Absensi,Presensi Mandiri,/attendance/my-attendance,attendance.reports.view,,,X,X,
Absensi,Riwayat Mengajar (Jurnal Guru),/attendance/riwayat-ajar,attendance.reports.view,,,X,,
Akademik,Dashboard Akademik,/academic,academic.structures.view.list,,X,X,,
Akademik,Manajemen Data Guru,/academic/guru,academic.teachers.view.list,,X,,,
Akademik,Plotting Guru Mapel,/academic/guru-mapel,academic.teaching.view,,X,X,,
Akademik,Manajemen Data Siswa,/academic/siswa,academic.students.view.list,,X,X,,
Akademik,Manajemen Data Kelas,/academic/kelas,academic.structures.view.list,,X,X,,
Akademik,Manajemen Mata Pelajaran,/academic/mapel,academic.subjects.view.list,,X,X,,
Akademik,Manajemen Tahun Pelajaran,/academic/tahun-pelajaran,academic.years.view.list,,X,,,
Akademik,Manajemen Semester,/academic/semester,academic.semesters.view.list,,X,,,
Akademik,Manajemen Jurusan,/academic/jurusan,academic.structures.view.list,,X,,,
Akademik,Registrasi Siswa Baru,/academic/registrasi-siswa,academic.students.view.list,,X,,,
Akademik,Plotting Wali Kelas,/academic/wali-kelas,academic.homeroom.manage,,X,X,,
Akademik,Transisi Akademik (Naik/Lulus),/academic/transition,academic.promotions.manage,,X,,,
Akademik,Cetak Kartu Siswa (ID Cards),/academic/siswa-cards,academic.student.card.view.config,,X,,,
Akademik,Mutasi Siswa (Pindah/Keluar),/academic/mutation,academic.students.view.list,,X,,,
Akademik,Struktur Organisasi (Tree),/academic/struktur-organisasi,academic.structures.view.tree,,X,X,,
Akademik,Backup & Restore Akademik,/academic/backup,academic.backups.view.list,,X,,,
Koperasi,Dashboard Koperasi,/cooperative/dashboard,cooperative.view,,X,X,,
Koperasi,Manajemen Anggota,/cooperative/members,cooperative.members.manage,,X,X,,
Koperasi,Transaksi Simpan Pinjam,/cooperative/savings,cooperative.savings.manage,,X,X,,
Koperasi,POS (Kasir Toko),/cooperative/pos,cooperative.pos.manage,,X,X,,
Koperasi,Layanan PPOB,/cooperative/ppob,cooperative.ppob.manage,,X,X,,
Koperasi,Laporan Keuangan,/cooperative/reports,cooperative.reports.view,,X,,,
Sarpras,Inventaris Aset,/sarpras/inventory,sarpras.inventory.view.list,,X,X,,
Sarpras,Peminjaman Barang,/sarpras/loans,sarpras.loans.view.list,,X,X,,
Sarpras,Pemeliharaan,/sarpras/maintenance,sarpras.repairs.view.list,,X,X,,
Superadmin,Manajemen Tenant Global,/tenants,core.tenants.view.list,X,,,,
Superadmin,Infrastructure Dashboard,/superadmin/infra,superadmin.infra.view.socket_global,X,,,,
Superadmin,Control Center & Jobs,/superadmin/infra/jobs,core.tenants.view.list,X,,,,
Superadmin,Platform Intelligence,/superadmin/intelligence,core.tenants.view.list,X,,,,
Superadmin,Revenue Intelligence,/superadmin/intelligence/revenue,core.tenants.view.list,X,,,,
Superadmin,Revenue Global Dashboard,/superadmin/revenue,superadmin.revenue.view.overview,X,,,,
Superadmin,Master Plans & Pricing,/billing/plans,billing.plans.view.list,X,,,,
Superadmin,Master Subscriptions,/billing/subscriptions,billing.subscriptions.view.active,X,,,,
Superadmin,Manajemen Menu Dinamis,/management/menus,core.menu.view.list,X,,,,
Superadmin,Manajemen Role & Capability,/management/roles,core.users.view.roles,X,,,,
Kurikulum,Supervisi Akademik,/kurikulum/supervisi,curriculum.supervision.view.report,,X,X,,
Kurikulum,Struktur Kurikulum,/kurikulum/struktur,academic.structures.view.list,,X,X,,
Kurikulum,Manajemen Jadwal,/kurikulum/jadwal,academic.teaching.view,,X,X,,
Kesiswaan,Pencatatan Pelanggaran,/kesiswaan/pelanggaran,affairs.violations.view.list,,X,X,,
Kesiswaan,Master Pelanggaran,/kesiswaan/jenis-pelanggaran,affairs.violation.types.view.list,,X,,,
Kesiswaan,Monitoring Kedisiplinan,/kesiswaan/monitoring,affairs.violations.view.list,,X,X,,
